 Round, Category, Value, Question, Answer
Jeopardy!,VERMONTERS,300,"This plow inventor was a Vermont blacksmith before moving to Grand Detour, Illinois",John Deere
Jeopardy!,"X, Y, Z",300,"Despite its bulk, this wild ox found in Tibet is an excellent swimmer",a yak
Jeopardy!,SHAKESPEAREAN LAST SCENES,300,"Near the end of Henry VIII, this princess is described as a most unspotted lily, who will die a virgin",Elizabeth I
Jeopardy!,ACTRESSES' FIRST FILMS,400,Oklahoma!,Shirley Jones
Jeopardy!,LIBRARIES,1500,"Salinas, California, has a public library named for this novelist",Steinbeck
Jeopardy!,TELEPHONE HISTORY,400,In 1980 Dial-It National Sports became the first service on this new area code,1-900
Jeopardy!,VERMONTERS,400,George Franklin Edmunds wrote most of this antitrust act of 1890,the Sherman (Antitrust Act)
Jeopardy!,"X, Y, Z",400,"Some of these are produced by bremsstrahlung, from the German for breaking radiation",x-rays
Jeopardy!,SHAKESPEAREAN LAST SCENES,400,"Puck's last speech in this play begins, If we shadows have offended, think but this--and all is mended",A Midsummer Night's Dream
Jeopardy!,ACTRESSES' FIRST FILMS,500,Halloween,Jamie Lee Curtis
Jeopardy!,LIBRARIES,500,In 1602 this university's library reopened after restoration work by Sir Thomas Bodley,Oxford University
Jeopardy!,TELEPHONE HISTORY,500,"In 1880 he invented the photophone, a device that sent messages through the air on beams of light",Alexander Graham Bell
Jeopardy!,VERMONTERS,500,At age 15 this future New York Tribune editor was apprenticed to a printer in East Poultney,Horace Greeley
Jeopardy!,"X, Y, Z",500,This Saint Francis was the Apostle of the Indies,Xavier
Jeopardy!,SHAKESPEAREAN LAST SCENES,500,"In the last scene of this comedy, Petruchio wins a bet that he has the most obedient wife",The Taming of the Shrew
Double Jeopardy!,MEDICAL MILESTONES,200,"In 1751, with Benjamin Franklin's help, the 1st hospital in the U.S. was founded in this city",Philadelphia
Double Jeopardy!,POETS & POETRY,200,"Of the 31 pilgrims in this Chaucer work, only 23 tell their stories",The Canterbury Tales
Double Jeopardy!,WORLD GEOGRAPHY,200,Large aboriginal populations live in this country's states of Queensland & New South Wales,Australia
Double Jeopardy!,MIXED DRINKS,200,The juice of one of these citrus fruits makes a Whiskey Sour sour,a lemon
Double Jeopardy!,THE 1930s,200,"In 1936, in defiance of the Treaty of Versailles, this country began remilitarizing the Rhineland",Germany
Double Jeopardy!,POP MUSIC,200,"He recorded Gone At Last with Phoebe Snow, not Art Garfunkel",Paul Simon
Double Jeopardy!,MEDICAL MILESTONES,400,In 1867 Thomas Allbutt invented one of these instruments which took 5 minutes to register instead of 20,a thermometer
Double Jeopardy!,POETS & POETRY,400,"This Longfellow poem was suggested by a smithy under a chestnut tree in Cambridge, Massachusetts",The Village Blacksmith
Double Jeopardy!,WORLD GEOGRAPHY,400,"Administrative units in this country include Giza, Aswan & Suez",Egypt
Double Jeopardy!,MIXED DRINKS,400,This pomegranate syrup turns a Pink Lady pink,grenadine
Double Jeopardy!,THE 1930s,400,This longtime anchor of the CBS Evening News became a UPI correspondent in 1939,Walter Cronkite
Double Jeopardy!,POP MUSIC,400,"She sang Better Be Good To Me in 1984, a few years after she broke up with Ike",Tina Turner
Double Jeopardy!,MEDICAL MILESTONES,600,Dutch physician Willem Kolff developed the 1st of these kidney machines that cleanse the blood,a dialysis machine
Double Jeopardy!,POETS & POETRY,600,"Oliver Wendell Holmes wrote of this ship, Oh better that her shattered hulk should sink beneath the wave",Old Ironsides
Double Jeopardy!,WORLD GEOGRAPHY,600,This longest river on the Iberian Peninsula is also known as the Tajo,the Tagus
Double Jeopardy!,MIXED DRINKS,600,A teaspoon of creme de cassis is added to this to make a Kir,white wine
Double Jeopardy!,THE 1930s,600,Helen Keller brought the first of these Japanese dogs to the United States in 1937,the akita
Double Jeopardy!,POP MUSIC,600,"In Take Me Home, Country Roads, John Denver sang, Almost heaven, this state",West Virginia
Double Jeopardy!,MEDICAL MILESTONES,800,In 1906 August von Wassermann developed a well-known test for this sexually transmitted disease,syphilis
Double Jeopardy!,POETS & POETRY,800,His When the Frost is on the Punkin was written for a series in the Indianapolis Journal,(James Whitcomb) Riley
Double Jeopardy!,WORLD GEOGRAPHY,1500,"Cabinda, an area of this former Portuguese colony, is separated from the rest of it by Zaire",Angola
Double Jeopardy!,MIXED DRINKS,800,"A basic Gin Rickey is gin, lime & this non-potent potable",soda water
Double Jeopardy!,THE 1930s,800,He was appointed conductor of the Boston Pops in 1930,Arthur Fiedler
Double Jeopardy!,POP MUSIC,800,"Alan, Merrill & Wayne, 3 of these Utah brothers, co-wrote their own 1972 hit Crazy Horses",the Osmonds
Double Jeopardy!,MEDICAL MILESTONES,2000,In 1982 William DeVries performed the 1st permanent artificial heart transplant on this man,Barney Clark
Double Jeopardy!,POETS & POETRY,1000,"He was descended from an Abyssinian prince, Peter the Great's godson",(Aleksandr) Pushkin
Double Jeopardy!,WORLD GEOGRAPHY,1000,The Indus River provides the western border of this desert also known as the Great Indian Desert,the Thar Desert
Double Jeopardy!,MIXED DRINKS,1000,Using Scotch whisky turns a Manhattan into this drink,a Rob Roy
Double Jeopardy!,THE 1930s,1000,This author of Anne of Green Gables was awarded the Order of the British Empire in 1935,(Lucy Maud) Montgomery
Double Jeopardy!,POP MUSIC,1000,"This singer's 1970 hit I'll Never Fall In Love Again was from the Broadway musical Promises, Promises",Dionne Warwick
Final Jeopardy!,AMERICAN HISTORY,,"On May 29, 1765 Patrick Henry's Stamp Act protest was interrupted with this one word",Treason!
Jeopardy!,"CANADIAN GEOGRAPHY, EH?",200,A narrow passage separates Canada's Ellesmere Island from this large Danish island,Greenland
Jeopardy!,ON HIS BASEBALL HALL OF FAME PLAQUE,200,This Yankee was the greatest drawing card in history of baseball,Babe Ruth
Jeopardy!,STAMPS,200,"Woo hoo! In 2009 this animated family was chosen to grace stamps, though postage did go up to 44 cents (D'oh!)",the Simpsons
Jeopardy!,THE KILLERS,200,In Genesis 4 he becomes the first killer; God isn't happy,Cain
Jeopardy!,SPOTT THA MISPELED WURD,200,Meet me in the library for a liaison at your liesure,leisure
Jeopardy!,THE BIG 10,200,The first 10 of these are known as the Bill of Rights,the Amendments
Jeopardy!,"CANADIAN GEOGRAPHY, EH?",400,"Mount Logan, Canada's highest peak, is found in this territory",the Yukon Territory
Jeopardy!,ON HIS BASEBALL HALL OF FAME PLAQUE,400,"Detroit - Philadelphia, A.L. - 1905-1926... retired with 4191 major league hits",(Ty) Cobb
Jeopardy!,STAMPS,400,This astronomer for whom a space telescope is named is honored in the American Scientists series,(Edwin) Hubble
Jeopardy!,THE KILLERS,400,"In one of the few documented one-on-one Old West gunfights, this Wild man killed Davis Tutt in 1865",Wild Bill Hickok
Jeopardy!,SPOTT THA MISPELED WURD,400,The occasional misspelling is noticable on a telecast like Jeopardy!,noticeable
Jeopardy!,THE BIG 10,400,In Israel Tevet is the tenth of these,month
Jeopardy!,"CANADIAN GEOGRAPHY, EH?",600,"Of the top 5 Canadian cities in population, it's the one closest to the Pacific Ocean",Vancouver
Jeopardy!,ON HIS BASEBALL HALL OF FAME PLAQUE,600,Mr. Octobe,(Reggie) Jackson
Jeopardy!,STAMPS,600,"A stamp honors this 19th c. author about whom it was said, So this is the little lady who made this big war",Harriet Beecher Stowe
Jeopardy!,THE KILLERS,600,Bodyguards Satwant & Beant Singh killed this female leader of India in 1984,Indira Gandhi
Jeopardy!,SPOTT THA MISPELED WURD,600,"If you supersede the competition, you will excede all expectations",exceed
Jeopardy!,THE BIG 10,600,"In L.A., the western tip of Interstate 10 is called this freeway, after the beach community it passes through",Santa Monica
Jeopardy!,"CANADIAN GEOGRAPHY, EH?",800,"Appropriately, New Glasgow is in this Canadian province",Nova Scotia
Jeopardy!,ON HIS BASEBALL HALL OF FAME PLAQUE,800,This 2009 inductee was faster than a speeding bullet,Rickey Henderson
Jeopardy!,STAMPS,800,An international rate stamp has a photo of <a href=http://www.j-archive.com/media/2010-02-08_J_28a.jpg target=_blank>this</a> nearly 700-sq mile swamp in Georgia and Florida,the Okefenokee
Jeopardy!,THE KILLERS,800,This insect of a gangster was a real-life hit man for Murder Incorporated in the 1930s & '40s,Bugsy Siegel
Jeopardy!,SPOTT THA MISPELED WURD,800,We want you to be committed to catagorizing your collectibles cohesively,categorizing
Jeopardy!,THE BIG 10,800,The title of this Boccaccio work means 10 Days,Decameron
Jeopardy!,"CANADIAN GEOGRAPHY, EH?",1000,"This province has the longest border, including water, with the United States",Ontario
Jeopardy!,ON HIS BASEBALL HALL OF FAME PLAQUE,1000,Boston Red Sox A.L. 1939-1960... batted .406 in 1941,Ted Williams
Jeopardy!,STAMPS,1800,The Distinguished Marines series honors the man for whom a North Carolina Marine Corps base was named,Lt. Gen. John Lejeune
Jeopardy!,THE KILLERS,1000,"Pausanius, a young Macedonian noble, killed this man, Alexander's dad, in 336 B.C.",Philip
Jeopardy!,SPOTT THA MISPELED WURD,1000,The accomodations at the monastery were rudimentary at best,accommodations
Jeopardy!,THE BIG 10,1000,"(<a href=http://www.j-archive.com/media/2010-02-08_J_20.jpg target=_blank>Alex stands in front of an exhibit at the Newseum.</a>) The exhibit G-men and journalists contains the very first ledger in which this list was kept. It began when a reporter asked the FBI, Who are the toughest guys you're looking for?",the FBI's 10 most wanted list
Double Jeopardy!,GENERAL SCIENCE,400,In 1869 this Austrian monk published a paper on hawkweed: the experiments didn't work as well as the ones with peas,Mendel
Double Jeopardy!,INSTRUMENT ETYMOLOGY,400,It's appropriate that the name of this double reed instrument with a low range comes from the Italian for low,a bassoon
Double Jeopardy!,FACIAL EXPRESSIONS,400,This word meaning empty or to be filled in describes a vacant type of stare,blank
Double Jeopardy!,LIT MY FIRE,400,The Fire Sermon is Part III of this poet's The Waste Land,T.S. Eliot
Double Jeopardy!,THE STAR'S TV SHOW & MOVIE,400,"Sex and the City, Sex and the City (& Did you Hear About the Morgans?)",Sarah Jessica Parker
Double Jeopardy!,THE BIG 10-LETTER WORDS,400,"Relatively speaking, it's your mom's husband by a later marriage",a stepfather
Double Jeopardy!,GENERAL SCIENCE,800,Unusual names borne by these celestial objects include 3834 Zappafrank & 10221 Kubrick,asteroids
Double Jeopardy!,INSTRUMENT ETYMOLOGY,800,Your dog will scratch his head if you don't know the ukulele's name comes from the Hawaiian for this jumping insect,the flea
Double Jeopardy!,FACIAL EXPRESSIONS,800,It's a self-satisfied smile or grin that you may be asked to wipe off your face,smirk
Double Jeopardy!,LIT MY FIRE,800,The burning of Moscow after Napoleon's exit is dramatized in this Tolstoy novel,War and Peace
Double Jeopardy!,THE STAR'S TV SHOW & MOVIE,800,"Bosom Buddies, The Green Mile",Tom Hanks
Double Jeopardy!,THE BIG 10-LETTER WORDS,800,"From the late Latin for word, this book is the last word on words",dictionary
Double Jeopardy!,GENERAL SCIENCE,1200,"(<a href=http://www.j-archive.com/media/2010-02-08_DJ_10.jpg target=_blank>Jimmy of the Clue Crew holds a bicycle wheel</a>)  When I torque a spinning bike wheel, an equal and opposite torque causes me to rotate also, an illustration of the conservation of angular this",momentum
Double Jeopardy!,INSTRUMENT ETYMOLOGY,1200,The first 4 letters of xylophone refer etymologically to this material used to make its sounding bars,wood
Double Jeopardy!,FACIAL EXPRESSIONS,1200,"In the 1600s Charles Le Brun drew illlustrations for each of the passions. <a href=http://www.j-archive.com/media/2010-02-08_DJ_16a.jpg target=_blank>Here's</a> la haine, this opposite of love",hate
Double Jeopardy!,LIT MY FIRE,1200,"In Book 1 of this, Satan is hurld hedlong flaming from th' ethereal skies... to dwell in adamantine chains and penal fire",Paradise Lost
Double Jeopardy!,THE STAR'S TV SHOW & MOVIE,1200,"Friends, Bruce Almighty",Jennifer Aniston
Double Jeopardy!,THE BIG 10-LETTER WORDS,1200,Don't lose your head: this French device shares its name with an instrument for surgically removing tonsils,guillotine
Double Jeopardy!,GENERAL SCIENCE,1600,This 4-letter neutral compound is produced by the reaction of an acid & a base,a salt
Double Jeopardy!,INSTRUMENT ETYMOLOGY,1600,From the Latin for clear comes the name for this woodwind instrument,clarinet
Double Jeopardy!,FACIAL EXPRESSIONS,2000,Jack Nicholson movie villain known for his rictus,the Joker
Double Jeopardy!,LIT MY FIRE,1600,This Irish poet's Sailing to Byzantium urges sages... in God's holy fire to be singing masters of my soul,William Butler Yeats
Double Jeopardy!,THE STAR'S TV SHOW & MOVIE,1600,"In Living Color, Bruce Almighty",Jim Carrey
Double Jeopardy!,THE BIG 10-LETTER WORDS,2000,The report's back from the lab; it's the science dealing with the detection of poisons,toxicology
Double Jeopardy!,GENERAL SCIENCE,2000,"Plants having these underground stems, from the Greek for root, include irises, bamboo & wild ginger",rhizomes
Double Jeopardy!,INSTRUMENT ETYMOLOGY,2000,"The name of <a href=http://www.j-archive.com/media/2010-02-08_DJ_27b.jpg target=_blank>this</a> instrument has nothing to do with the religion, but is more likely a corruption of the word jaw",Jew's harp
Double Jeopardy!,FACIAL EXPRESSIONS,2000,This word for a sidelong glance of crude desire used to mean the cheek,a leer
Double Jeopardy!,LIT MY FIRE,2000,His 1963 bestseller The Fire Next Time took its title from an old spiritual,James Baldwin
Double Jeopardy!,THE STAR'S TV SHOW & MOVIE,2000,"The Office, Bruce Almighty",Steve Carell
Double Jeopardy!,THE BIG 10-LETTER WORDS,2000,Something that's the first son's due; Esau sold his,birthright
Final Jeopardy!,RANKS & TITLES,,"Owain Glyndwr, who died circa 1416, was the last native of his country to claim this title",Prince of Wales
Jeopardy!,WEATHER WORLD,200,"Libya's arid climate is made worse by the ghibli, a crop-destroying wind from this desert",Sahara
Jeopardy!,ON THE COVER OF SGT. PEPPER,200,"He's an African explorer, I presume",Dr. Livingstone
Jeopardy!,CLOTHING WORDS,200,"A score of 22-22, for instance",tie
Jeopardy!,MY PLACE?,200,"A Norman could say, I'm the king of the motte-and-bailey style of this",castle
Jeopardy!,IT'S A DATE!,200,You'll find this date on a calendar only once every 4 years,February 29 (for a leap year)
Jeopardy!,J WHIZ,200,"It's a trip taken by a public official at public expense, ostensibly for official business",junket
Jeopardy!,WEATHER WORLD,400,"In addition to helping commerce, these ocean winds bring pleasant weather to islands like Hawaii",trade winds
Jeopardy!,ON THE COVER OF SGT. PEPPER,400,Bob Dylan appears as does this poet from whom he may have taken his stage name,Dylan Thomas
Jeopardy!,CLOTHING WORDS,400,To lose footing on icy ground,slip
Jeopardy!,MY PLACE?,400,"As he often said, Chris Farley's character Matt Foley lived in one of these down by the river",van
Jeopardy!,IT'S A DATE!,400,"(Jimmy of the Clue Crew at the USS Arizona Memorial in Pearl Harbor, Hawaii)  Pearl Harbor will always be remembered for this date in 1941, which FDR said will live in infamy",7-Dec
Jeopardy!,J WHIZ,400,"It's not a type of fruit spread, but a large extended campout for several Boy Scout troops together",jamboree
Jeopardy!,WEATHER WORLD,600,"In Venezuela, this season is from April to October; in the mountains of Peru, from November to March",rainy season
Jeopardy!,ON THE COVER OF SGT. PEPPER,600,This actor is in costume from his film The Wild One,Marlon Brando
Jeopardy!,CLOTHING WORDS,600,"Breathes heavily, like a dog or a tired jogger",pants
Jeopardy!,MY PLACE?,600,The introduction to The Song of Hiawatha mentions the curling smoke of these dwellings,wigwams
Jeopardy!,IT'S A DATE!,600,"Oregon entered the union on this date in 1859, sweetie",14-Feb
Jeopardy!,J WHIZ,600,It's believed that the Virgin Mary died in this Middle Eastern city,Jerusalem
Jeopardy!,WEATHER WORLD,800,It's the U.S. state that experiences the most tornadoes,Texas
Jeopardy!,ON THE COVER OF SGT. PEPPER,800,The Beatles' bass player before Paul took over,Stu Sutcliffe
Jeopardy!,CLOTHING WORDS,800,A layer of paint,coat
Jeopardy!,MY PLACE?,800,A book subtitled Architecture in the Colombian Countryside showcases the estates called these in Spanish,haciendas
Jeopardy!,IT'S A DATE!,800,"It's Bird Day in Oklahoma, & a popular date for pole dancing",1-May
Jeopardy!,J WHIZ,800,This 1847 novel takes place mainly at Lowood Orphan Asylum & Thornfield Hall,Jane Eyre
Jeopardy!,WEATHER WORLD,1000,"The Australian mountains that include the Charlotte's Pass ski area, or the weather there in July",Snowy
Jeopardy!,ON THE COVER OF SGT. PEPPER,1000,This Das Kapital author stands between comedian Oliver Hardy & H.G. Wells,Karl Marx
Jeopardy!,CLOTHING WORDS,1000,Hits hard,socks/belts
Jeopardy!,MY PLACE?,1000,A western camper pitches a tent; a central Asian nomad pitches this,yurt
Jeopardy!,IT'S A DATE!,1000,"O Canada celebrates Canada Day on this date, 3 days before a big American holiday",1-Jul
Jeopardy!,J WHIZ,1000,The Hagia Sophia in Istanbul was one of the many churches built by this 6th century Byzantine emperor,Justinian I
Double Jeopardy!,PLAYWRIGHTS,400,Critic Walter Kerr called this man's Camino Real The worst play yet written by the best playwright of his generation,Tennessee Williams
Double Jeopardy!,THE 1890s,400,"Japan had an emperor, Russia, a czar & Italy was ruled by one of these",king
Double Jeopardy!,AMERICAN NICKNAMES,400,She was called Little Missy & Little Sure Shot,Annie Oakley
Double Jeopardy!,S-OTERICA,400,Examples of this TV format include Leave It to Beaver & The King of Queens,sitcom
Double Jeopardy!,VIETNAM,400,"It's not the capital, but this Vietnamese city is the most populous",Ho Chi Minh City (formerly Saigon)
Double Jeopardy!,TOUR OF JUDY,400,Liza & Lorna's mom,Judy Garland
Double Jeopardy!,PLAYWRIGHTS,800,May All Your Fences Have Gates is a book of Essays on the Drama of this African-American playwright,August Wilson
Double Jeopardy!,THE 1890s,800,"Of Frankenstein, The Invisible Man or Dracula, the one not created in 1897",Frankenstein (created in 1818)
Double Jeopardy!,AMERICAN NICKNAMES,1500,The Plant Magician was Luther Burbank; this man was the Plant Doctor,George Washington Carver
Double Jeopardy!,S-OTERICA,800,Slang term for a left-handed boxer or fiddle player,southpaw
Double Jeopardy!,VIETNAM,6800,"Of the 3 countries that border Vietnam, the one whose name does not begin with the same letter as the other 2",Laos
Double Jeopardy!,TOUR OF JUDY,800,This animated girl attends Orbit High School,Judy Jetson
Double Jeopardy!,PLAYWRIGHTS,1200,"(Sofia of the Clue Crew at the Nederlander Theatre in New York City)  This creator of Rent died the night of its final dress rehearsal, never knowing he would win the Pulitzer Prize",Jonathan Larson
Double Jeopardy!,THE 1890s,1200,Relationship of Lizzie Borden to the woman she was acquitted of killing,stepdaughter
Double Jeopardy!,AMERICAN NICKNAMES,1200,"Born in 1905, he was the Billionaire Recluse",Howard Hughes
Double Jeopardy!,S-OTERICA,1200,It's a low-level football catch made near the ground by a running player,shoestring catch
Double Jeopardy!,VIETNAM,1200,"A fertile marshland, Vietnam's southernmost region is the broad delta of this river",Mekong
Double Jeopardy!,TOUR OF JUDY,1200,"Twice nominated for Oscars, this actress once studied at an Australian convent & sang in a rock band",Judy Davis
Double Jeopardy!,PLAYWRIGHTS,1600,These British twin brother playwrights wrote mystery novels under the rather obvious alias Peter Anthony,Peter & Anthony Shaffer
Double Jeopardy!,AMERICAN NICKNAMES,1600,"Sam Rayburn was Mr. Sam, not Mr. Democrat; this politician was Mr. Republican, not Mr. Robert",Robert Taft
Double Jeopardy!,S-OTERICA,1600,(I'm NFL running back Shaun Alexander)  I play in this city that's the farthest distance away from any other NFL city,Seattle
Double Jeopardy!,VIETNAM,1600,The large S shape that is Vietnam juts out into this sea with a directional name,South China Sea
Double Jeopardy!,TOUR OF JUDY,1600,She played an airheaded blonde to whom William Holden had to teach manners in Born Yesterday,Judy Holliday
Double Jeopardy!,PLAYWRIGHTS,2000,"Born in 1799, this poet, novelist & playwright is to Russian literature what Shakespeare is to English literature",Alexander Pushkin
Double Jeopardy!,AMERICAN NICKNAMES,2000,Gloria Vanderbilt or Doris Duke; it's also the translation of the Victoria Ruffo telenovela title Pobre Nina Rica,Poor Little Rich Girl
Double Jeopardy!,S-OTERICA,2000,Peter Falk narrated this 1978 documentary in which hardened convicts frightened delinquent kids,Scared Straight
Double Jeopardy!,VIETNAM,2000,"Vietnam's narrowest point, about 30 miles, is just north of this port city where U.S. troops landed in 1965",Da Nang
Double Jeopardy!,TOUR OF JUDY,2000,This CNN news anchor once worked as a correspondent for The MacNeil/Lehrer Newshour,Judy Woodruff
Final Jeopardy!,CANDY,,"Bill Harmsen, who raised horses in Colo., happily founded this candy co. in 1949 to make money during the winter",Jolly Rancher
Jeopardy!,HISTORIC NICKNAMES,200,"Because of his Hanoverian heritage, American colonists called this monarch German Georgie or Geordie",George III
Jeopardy!,"BIG, REALLY BIG!",200,"Built on 200 acres, this Washington, D.C. train station was once the world's largest",Union Station
Jeopardy!,POLITICAL MOVIES,200,2 reporters unearth a political scandal that goes all the way to the top in this 1976 film based on a book,All the President's Men
Jeopardy!,THE 1990s,200,"On Jan. 31, 1999 this team repeated as Super Bowl champs with John Elway throwing for 336 yards",the Denver Broncos
Jeopardy!,U.S. STATES,200,Do the wild fais-do-do in this state while motoring on Interstate 10 to Baton Rouge or Ponchatoula,Louisiana
Jeopardy!,HISTORIC NICKNAMES,400,Among the more colorful nicknames of this agricultural chemist were Peanut Man & Sweet-Potato Man,George Washington Carver
Jeopardy!,"BIG, REALLY BIG!",400,The 120-foot big bat being transported here is now at the Kentucky museum named for this 2-word brand,Louisville Slugger
Jeopardy!,POLITICAL MOVIES,400,"Jimmy Stewart played Jefferson Smith, the naive & idealistic appointee to the U.S. Senate in this Capra classic",Mr. Smith Goes to Washington
Jeopardy!,THE 1990s,400,"On January 4, 1995 he was sworn in as the first Republican speaker of the house in more than 40 years",Newt Gingrich
Jeopardy!,U.S. STATES,400,It's the only U.S. state named for a French king,Louisiana
Jeopardy!,HISTORIC NICKNAMES,600,This animal phrase meaning courageous was Richard I of England's nickname,the Lionhearted
Jeopardy!,"BIG, REALLY BIG!",600,"In 1956 a 12,000-square-mile one of these was seen floating off Antarctica; you might call it titanic",an iceberg
Jeopardy!,POLITICAL MOVIES,1000,This political satire starred John Travolta as a Southern governor running for president,Primary Colors
Jeopardy!,THE 1990s,600,"On Nov. 5, 1996, this GOP candidate joked, Tomorrow will be the first time in my life I don't have anything to do",Bob Dole
Jeopardy!,HISTORIC NICKNAMES,800,"He was the Father of Texas, but the Indians called him Big Drunk",Sam Houston
Jeopardy!,"BIG, REALLY BIG!",800,(Jimmy of the Clue Crew)  In 1996 a 505 X 255-foot flag decorated this structure seen here in the West,the Hoover Dam
Jeopardy!,POLITICAL MOVIES,800,Frank Langella is the power hungry chief of staff in this film in which Kevin Kline plays a presidential impersonator,Dave
Jeopardy!,THE 1990s,800,In April 1992 riots broke out in L.A. after a jury failed to convict the policemen involved in the beating of this man,Rodney King
Jeopardy!,HISTORIC NICKNAMES,1000,This 19th century American politician & orator was nicknamed The Little Giant,Stephen Douglas
Jeopardy!,"BIG, REALLY BIG!",1000,Lady Hamilton could tell you the name of this 185-foot column that went up in the early 1840s,(Lord) Nelson's Column
Jeopardy!,POLITICAL MOVIES,1000,"Michael Douglas played Andrew Shepherd, the title character of this film, & even he had trouble dating",The American President
Jeopardy!,THE 1990s,1000,"Queen Elizabeth II & Francois Mitterrand appeared together at the opening of this on May 6, 1994",the opening of the Chunnel (the Channel tunnel)
Double Jeopardy!,CROSSWORD CLUES D,400,"Scotch, & make it this (6)",double
Double Jeopardy!,CAPITOL THINKERS,400,"This man from Mass. is the ranking Democrat of the Senate's Health, Education, Labor & Pensions Committee",Edward Kennedy
Double Jeopardy!,MEET THE PARENTS,400,"CBS, Blockbuster, Simon & Schuster",Viacom
Double Jeopardy!,YOU SHOULD BE IN A BALLET!,400,This fluffy skirt that you may have to wear was not named for archbishop Desmond,tutu
Double Jeopardy!,GROSS NATIONAL PRODUCTS,400,"In this largest country, comrades left & right enjoy coulibiac, a pie made with the spinal marrow of the sturgeon",Russia
Double Jeopardy!,POTPOURRI,400,Some think this Irving Berlin song should replace The Star-Spangled Banner as the national anthem -- it's easier to sing,God Bless America
Double Jeopardy!,CROSSWORD CLUES D,800,"He's the shadowy Watergate source (4,6)",Deep Throat
Double Jeopardy!,CAPITOL THINKERS,800,This self-made man has the distinction of being the longest serving senator ever from West Virginia,Robert Byrd
Double Jeopardy!,MEET THE PARENTS,800,"Aiwa, Epic Records, Columbia Tristar",Sony
Double Jeopardy!,YOU SHOULD BE IN A BALLET!,800,"Your allergy to feathers may prevent you from playing Odette, the queen of the swans in this ballet",Swan Lake
Double Jeopardy!,GROSS NATIONAL PRODUCTS,800,The Masai people of this African country mix cow blood with milk for a refreshing drink,Kenya
Double Jeopardy!,POTPOURRI,800,Politicians often complain about having to make appearances on this unappetizing poultry circuit,the rubber chicken circuit
Double Jeopardy!,CAPITOL THINKERS,1200,"This Ariz. senator said of Bush's energy plan, Just one pork barrel project larded onto another",John McCain
Double Jeopardy!,MEET THE PARENTS,1200,"D.C. Comics, MapQuest.com, CNN",Time Warner
Double Jeopardy!,YOU SHOULD BE IN A BALLET!,1000,"To star in this 1890 fairy tale ballet, you shouldn't have spindly legs but you will need a spindle",Sleeping Beauty
Double Jeopardy!,GROSS NATIONAL PRODUCTS,1200,Sanma aisu is fish-flavored ice cream & taco aisu is octopus-flavored ice cream made in this country,Japan
Double Jeopardy!,POTPOURRI,1200,There are Blue & White branches of this African river,the Nile
Double Jeopardy!,CAPITOL THINKERS,1600,This Tennessee senator is a practicing physician,Bill Frist
Double Jeopardy!,MEET THE PARENTS,1600,"First Colony Life Insurance, Telemundo, NBC",General Electric
Double Jeopardy!,YOU SHOULD BE IN A BALLET!,1600,Your striking resemblance to Kirk Douglas has convinced us to star you in the ballet about this gladiator,Spartacus
Double Jeopardy!,GROSS NATIONAL PRODUCTS,1600,"When on this north Atlantic island be sure to try hakarl, a traditional dish of rotten shark",Iceland
Double Jeopardy!,POTPOURRI,1600,VP Garret Hobart cast the deciding vote against independence for these formerly Spanish Pacific islands,the Philippines
Double Jeopardy!,CAPITOL THINKERS,2000,"This Vermont senator wrote, You get 15 Democrats together in a room, and you get 20 opinions",Patrick Leahy
Double Jeopardy!,MEET THE PARENTS,2000,"Hyperion Books, Mammoth Records, Miramax Films",Disney
Double Jeopardy!,YOU SHOULD BE IN A BALLET!,2000,Your Romeo and Juliet will make everyone forget the 1965 triumph of Rudolf Nureyev & this partner,Margot Fonteyn
Double Jeopardy!,GROSS NATIONAL PRODUCTS,2000,"Consisting of a sheep's minced heart, lung & liver, haggis is a specialty of this U.K. country",Scotland
Double Jeopardy!,POTPOURRI,2000,The website for this Bureau of the Treasury department is www.moneyfactory.com,the Bureau of Printing and Engraving
Final Jeopardy!,THE PRESIDENCY,,"If a president is impeached, this official presides over the trial in the Senate",the Chief Justice of the United States
Jeopardy!,AFRICAN GEOGRAPHY,100,"The Qattara Depression, one of Africa's lowest points, lies 300 miles southwest of this country's pyramids",Egypt
Jeopardy!,BON APPE-T,100,A folded tortilla filled with various ingredients,Taco
Jeopardy!,MONEY SLANG,100,Cheap way off a rodeo bronco,Buck
Jeopardy!,AIN'T THAT AMERICA,100,The Mackinac Bridge joins the upper & lower peninsulas of this U.S. state,Michigan
Jeopardy!,WHY?,100,These events occur because gas-filled magma is forced to the surface by pressure from solid rock,Volcanic eruptions
Jeopardy!,THE BUTLER DID IT,100,Ted Cassidy played Bigfoot on The Six Million Dollar Man & filled this servant's shoes on The Addams Family,Lurch
Jeopardy!,AFRICAN GEOGRAPHY,200,Arabs call this Libyan capital Tarabulus,Tripoli
Jeopardy!,BON APPE-T,200,This steak is a hot dog,Tube steak
Jeopardy!,MONEY SLANG,200,No Wonder you're on a roll -- you're not a loafer & you're earning a lot of this,Bread/dough
Jeopardy!,AIN'T THAT AMERICA,200,This state was named for a man who was a European king from 1643 to 1715,Louisiana
Jeopardy!,WHY?,200,They're unlucky because in the Middle Ages they were thought to be the mascots of witches,Black cats
Jeopardy!,THE BUTLER DID IT,200,He must have a great benefit plan; Alfred began his service to this crime fighter way back in 1943,Batman
